Scenario;Region;Sector;Set;Name;Description;Activity unit;Capacity unit;Type;Sub type;Primary commodity group;Time slice level;Vintage
SUP-CarbonStorage;RW;SUP;.PRE.CCSSTG.;CO2DAC-01;General - DAC Solid Adsorbents(Amine-based);KT;MTA;PRE;-;CO2STOCK;ANNUAL;1,00
SUP-CarbonStorage;RW;SUP;.PRE.CCSSTG.;STORAGEMINELC;STORAGEMINELC;KT;MTA;PRE;-;CO2STOCK;ANNUAL;1,00
SUP-CarbonStorage;RW;SUP;.PRE.CCSSTG.;STORAGEMININD;STORAGEMININD;KT;MTA;PRE;-;CO2STOCK;ANNUAL;1,00
SUP-CarbonStorage;RW;SUP;.PRE.;CO2CTOMETHELC;CO2CTOMETHELC;PJ;PJA;PRE;-;CO2CTOMETHELC_NRGO;DAYNITE;1,00
SUP-CarbonStorage;RW;SUP;.PRE.;CO2CTOMETHIND;CO2CTOMETHIND;PJ;PJA;PRE;-;CO2CTOMETHIND_NRGO;DAYNITE;1,00
BASE;RW;RSD;.PRE.;RW2FOIL100;Rsd.Water Heat.Dwelling.2F.OIL.00.Furnace.;PJ;GW;PRE;-;RW2F;ANNUAL;0,00
COM-NewTechs_V02;RW;COM;.DMD.;CWBANGMX101;Com Water Heat New Boiler - BAN - GMX101;PJ;GW;DMD;-;;ANNUAL;0,00
COM-NewTechs_V02;RW;COM;.DMD.;CCCSNELC101;Com Space Cool New - CSN - ELC101;PJ;GW;DMD;-;;ANNUAL;0,00
COM-NewTechs_V02;RW;COM;.DMD.;CCCSNELCHP101;Com Space Cool New - CSN - ELC101;PJ;GW;DMD;-;;ANNUAL;0,00
COM-NewTechs_V02;RW;COM;.PRE.;CWDATASOLD101;Com Water Heat New Boiler with back up - DATA - OIL101;PJ;GW;PRE;-;;ANNUAL;0,00
IND-NewTechs_TEST;RW;IND;.DMD.;ICMFINPRO01;ICM.Finishing Processes.01;MT;MT;DMD;-;ICM;ANNUAL;1,00
COM-NewTechs_V02;RW;COM;.PRE.;CLIGNENELC501;CLIGNENELC501;PJ;GW;PRE;-;CLIGNEN;ANNUAL;
BASE;RW;AGR;.IMP.;IMPNRGZ;Dummy Import of NRG;PJ;-;IRE;-;NRG;ANNUAL;
BASE;RW;AGR;.IMP.;IMPMATZ;Dummy Import of MAT;MT;-;IRE;-;MAT;ANNUAL;
BASE;RW;AGR;.IMP.;IMPDEMZ;Dummy Import of DEM;PJ;-;IRE;-;DEM;ANNUAL;
BASE;RW;TRA;.DMD.;TBUSDSTC00;Buses Diesel Coaches Existing;BVKM;000VEH;DMD;-;TBC;ANNUAL;0,00
BASE;RW;TRA;.DMD.;TTFELCDST00;Train Freigh Tech Existing;BTKM;BTKMA;DMD;-;TTF;ANNUAL;0,00
BASE;RW;IND;.PRE.;IPPPUPCHE00;IPP.Chemical Pulp Production.00.;MT;MTA;PRE;-;MPPPUP;ANNUAL;0,00
BASE;RW;IND;.CHP.;CHPINDIBP00;CHP.Autoproducer.Industry.wood.00;PJ;GW;CHP;-;CHPINDIBP00_NRGO;DAYNITE;0,00
BASE;RW;IND;.CHP.;CHPINDICH00;CHP.Autoproducer.industrie.chimie.00;PJ;GW;CHP;-;CHPINDICH00_NRGO;DAYNITE;0,00
BASE;RW;IND;.CHP.;CHPINDIML00;CHP.Autoproducer.Industry.FOOD.Milk.00;PJ;GW;CHP;-;CHPINDIML00_NRGO;DAYNITE;0,00
BASE;RW;IND;.CHP.;CHPINDINM00;CHP.Autoproducer.Industry.others.non.metal.00;PJ;GW;CHP;-;CHPINDINM00_NRGO;DAYNITE;0,00
BASE;RW;IND;.CHP.;CHPINDIOF00;CHP.Autoproducer.Industry.FOOD.others.00;PJ;GW;CHP;-;CHPINDIOF00_NRGO;DAYNITE;0,00
BASE;RW;IND;.CHP.;CHPINDIOI00;CHP.Autoproducer.Industry.others.non.metal.00;PJ;GW;CHP;-;CHPINDIOI00_NRGO;DAYNITE;0,00
BASE;RW;IND;.CHP.;CHPINDIPO00;CHP.Autoproducer.Industry.FOODIPO.00;PJ;GW;CHP;-;CHPINDIPO00_NRGO;DAYNITE;0,00
BASE;RW;IND;.CHP.;CHPINDIPP00;CHP.Autoproducer.Industry.Pulp&Paper.00;PJ;GW;CHP;-;CHPINDIPP00_NRGO;DAYNITE;0,00
BASE;RW;IND;.CHP.;CHPINDISG00;CHP.Autoproducer.Industry.FOOD.ISGar.00;PJ;GW;CHP;-;CHPINDISG00_NRGO;DAYNITE;0,00
BASE;RW;ELC;.CHP.;ECHPP_COM_BGS_E05;Existing thermal - CHP - Commercial - E05;PJ;GW;CHP;-;ECHPP_COM_BGS_E05_NRGO;DAYNITE;0,00
BASE;RW;ELC;.CHP.;ECHPP_COM_CPS_E01;Existing thermal - CHP - Commercial - E01;PJ;GW;CHP;-;ECHPP_COM_CPS_E01_NRGO;DAYNITE;0,00
BASE;RW;ELC;.CHP.;ECHPP_COM_GAS_E04;Existing thermal - CHP - Commercial - E04;PJ;GW;CHP;-;ECHPP_COM_GAS_E04_NRGO;DAYNITE;0,00
COM-NewTechs_V02;RW;COM;.DMD.;CWBANSOLE101;Com Water Heat New Boiler - BAN - SOL101;PJ;GW;DMD;-;;ANNUAL;0,00
BASE;RW;ELC;.CHP.;ECHPP_COM_PEL_E03;Existing thermal - CHP - Commercial - E03;PJ;GW;CHP;-;ECHPP_COM_PEL_E03_NRGO;DAYNITE;0,00
BASE;RW;ELC;.CHP.;ECHPP_MOT_BGS_E01;Existing Thermal Public - CHP - Moteur  - E01;PJ;GW;CHP;-;ECHPP_MOT_BGS_E01_NRGO;DAYNITE;0,00
BASE;RW;ELC;.CHP.;ECHPP_MOT_BIO_E02;Existing Thermal Public - CHP - Moteur  - E02;PJ;GW;CHP;-;ECHPP_MOT_BIO_E02_NRGO;DAYNITE;0,00
BASE;RW;ELC;.CHP.;ECHPP_MOT_GAS_E04;Existing Thermal Public - CHP - Moteur  - E04;PJ;GW;CHP;-;ECHPP_MOT_GAS_E04_NRGO;DAYNITE;0,00
BASE;RW;ELC;.CHP.;ECHPP_MOT_OIL_E03;Existing Thermal Public - CHP - Moteur  - E03;PJ;GW;CHP;-;ECHPP_MOT_OIL_E03_NRGO;DAYNITE;0,00
BASE;RW;ELC;.CHP.;ETSTP_TVC_WST_E11;Existing Thermal Public - Pure ELC - Turbine vapeur à condensation - E11;PJ;GW;CHP;-;ETSTP_TVC_WST_E11_NRGO;DAYNITE;0,00
BASE;RW;IND;.CHP.;CHPINDINF00;CHP.Autoproducer.Industry.non ferous Metals.00;PJ;GW;CHP;-;;DAYNITE;0,00
BASE;RW;COM;.DMD.;COELELC100;Com.Other Electricity.ELC.00.Other Equipments.;PJ;PJA;DMD;-;COEL;ANNUAL;0,00
BASE;RW;AGR;.ELE.;AGRPVELC;PV AGRI;PJ;GW;ELE;-;AGRPVELC_NRGO;DAYNITE;0,00
BASE;RW;COM;.ELE.;COMPVELC;PV commercial;PJ;GW;ELE;-;COMPVELC_NRGO;DAYNITE;0,00
BASE;RW;IND;.ELE.;INDPVELC;PV industrial;PJ;GW;ELE;-;INDPVELC_NRGO;DAYNITE;0,00
BASE;RW;RSD;.ELE.;RSDPVELC;PV residential;PJ;GW;ELE;-;RSDPVELC_NRGO;DAYNITE;0,00
BASE;RW;COM;.PRE.;CHCSCPS100;Com.Space Heat.CS.BIOCPS.00.Stove.;PJ;GW;PRE;-;CHCS;ANNUAL;0,00
BASE;RW;COM;.PRE.;CHSAGEO100;Com.Space Heat.SA.GEO.00.Furnace.;PJ;GW;PRE;-;CHSA;ANNUAL;0,00
BASE;RW;COM;.PRE.;CWCSGMX100;Com.Water Heat.CS.GAS.00.Furnace.;PJ;GW;PRE;-;CWCS;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH2FCOA100;Rsd.Space Heat.Dwelling.2F.COA.00.Furnace.;PJ;GW;PRE;-;RH2FCOA100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH2FELC100;Rsd.Space Heat.Dwelling.2F.ELC.00.Resistance.;PJ;GW;PRE;-;RH2FELC100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH2FELC200;Rsd.Space Heat.Dwelling.2F.ELC.00.Heat Pump.;PJ;GW;PRE;-;RH2FELC200_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH2FGEO100;Rsd.Space Heat.Dwelling.2F.GEO.00.Furnace.;PJ;GW;PRE;-;RH2FGEO100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH2FGMX100;Rsd.Space Heat.Dwelling.2F.GMX.00.Furnace.;PJ;GW;PRE;-;RH2FGMX100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH2FHET100;Rsd.Space Heat.Dwelling.2F.HET.00.Heat Exchanger.;PJ;GW;PRE;-;RH2FHET100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH2FLOG100;Rsd.Space Heat.Dwelling.2F.LOG.00.Stove.;PJ;GW;PRE;-;RH2FLOG100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH2FLPG100;Rsd.Space Heat.Dwelling.2F.LPG.00.Furnace.;PJ;GW;PRE;-;RH2FLPG100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH2FOIL100;Rsd.Space Heat.Dwelling.2F.OIL.00.Furnace.;PJ;GW;PRE;-;RH2FOIL100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH2FPEL100;Rsd.Space Heat.Dwelling.2F.PEL.00.Stove.;PJ;GW;PRE;-;RH2FPEL100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH2FSOL100;Rsd.Space Heat.Dwelling.2F.SOL.00.Furnace.;PJ;GW;PRE;-;RH2FSOL100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH3FCOA100;Rsd.Space Heat.Dwelling.3F.COA.00.Furnace.;PJ;GW;PRE;-;RH3FCOA100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH3FELC100;Rsd.Space Heat.Dwelling.3F.ELC.00.Resistance.;PJ;GW;PRE;-;RH3FELC100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH3FELC200;Rsd.Space Heat.Dwelling.3F.ELC.00.Heat Pump.;PJ;GW;PRE;-;RH3FELC200_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH3FGEO100;Rsd.Space Heat.Dwelling.3F.GEO.00.Furnace.;PJ;GW;PRE;-;RH3FGEO100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH3FGMX100;Rsd.Space Heat.Dwelling.3F.GMX.00.Furnace.;PJ;GW;PRE;-;RH3FGMX100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH3FHET100;Rsd.Space Heat.Dwelling.3F.HET.00.Heat Exchanger.;PJ;GW;PRE;-;RH3FHET100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH3FLOG100;Rsd.Space Heat.Dwelling.3F.LOG.00.Stove.;PJ;GW;PRE;-;RH3FLOG100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH3FLPG100;Rsd.Space Heat.Dwelling.3F.LPG.00.Furnace.;PJ;GW;PRE;-;RH3FLPG100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH3FOIL100;Rsd.Space Heat.Dwelling.3F.OIL.00.Furnace.;PJ;GW;PRE;-;RH3FOIL100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH3FPEL100;Rsd.Space Heat.Dwelling.3F.PEL.00.Stove.;PJ;GW;PRE;-;RH3FPEL100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH3FSOL100;Rsd.Space Heat.Dwelling.3F.SOL.00.Furnace.;PJ;GW;PRE;-;RH3FSOL100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH4FCOA100;Rsd.Space Heat.Dwelling.4F.COA.00.Furnace.;PJ;GW;PRE;-;RH4FCOA100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH4FELC100;Rsd.Space Heat.Dwelling.4F.ELC.00.Resistance.;PJ;GW;PRE;-;RH4FELC100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH4FELC200;Rsd.Space Heat.Dwelling.4F.ELC.00.Heat Pump.;PJ;GW;PRE;-;RH4FELC200_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH4FGEO100;Rsd.Space Heat.Dwelling.4F.GEO.00.Furnace.;PJ;GW;PRE;-;RH4FGEO100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH4FGMX100;Rsd.Space Heat.Dwelling.4F.GMX.00.Furnace.;PJ;GW;PRE;-;RH4FGMX100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH4FHET100;Rsd.Space Heat.Dwelling.4F.HET.00.Heat Exchanger.;PJ;GW;PRE;-;RH4FHET100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH4FLOG100;Rsd.Space Heat.Dwelling.4F.LOG.00.Stove.;PJ;GW;PRE;-;RH4FLOG100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH4FLPG100;Rsd.Space Heat.Dwelling.4F.LPG.00.Furnace.;PJ;GW;PRE;-;RH4FLPG100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH4FOIL100;Rsd.Space Heat.Dwelling.4F.OIL.00.Furnace.;PJ;GW;PRE;-;RH4FOIL100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH4FPEL100;Rsd.Space Heat.Dwelling.4F.PEL.00.Stove.;PJ;GW;PRE;-;RH4FPEL100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RH4FSOL100;Rsd.Space Heat.Dwelling.4F.SOL.00.Furnace.;PJ;GW;PRE;-;RH4FSOL100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RHAPCOA100;Rsd.Space Heat.Dwelling.AP.COA.00.Furnace.;PJ;GW;PRE;-;RHAPCOA100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RHAPELC100;Rsd.Space Heat.Dwelling.AP.ELC.00.Resistance.;PJ;GW;PRE;-;RHAPELC100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RHAPELC200;Rsd.Space Heat.Dwelling.AP.ELC.00.Heat Pump.;PJ;GW;PRE;-;RHAPELC200_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RHAPGEO100;Rsd.Space Heat.Dwelling.AP.GEO.00.Furnace.;PJ;GW;PRE;-;RHAPGEO100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RHAPGMX100;Rsd.Space Heat.Dwelling.AP.GMX.00.Furnace.;PJ;GW;PRE;-;RHAPGMX100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RHAPHET100;Rsd.Space Heat.Dwelling.AP.HET.00.Heat Exchanger.;PJ;GW;PRE;-;RHAPHET100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RHAPLOG100;Rsd.Space Heat.Dwelling.AP.LOG.00.Stove.;PJ;GW;PRE;-;RHAPLOG100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RHAPLPG100;Rsd.Space Heat.Dwelling.AP.LPG.00.Furnace.;PJ;GW;PRE;-;RHAPLPG100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RHAPOIL100;Rsd.Space Heat.Dwelling.AP.OIL.00.Furnace.;PJ;GW;PRE;-;RHAPOIL100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RHAPPEL100;Rsd.Space Heat.Dwelling.AP.PEL.00.Stove.;PJ;GW;PRE;-;RHAPPEL100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RHAPSOL100;Rsd.Space Heat.Dwelling.AP.SOL.00.Furnace.;PJ;GW;PRE;-;RHAPSOL100_NRGO;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RSDHET00;Fuel Tech 0 - Heat (RSD);PJ;GW;PRE;-;RSDHET00_NRGO;DAYNITE;0,00
BASE;RW;RSD;.PRE.;RSDHET01;Fuel Tech 1 - Heat (RSD);PJ;GW;PRE;-;RSDHET01_NRGO;DAYNITE;0,00
BASE;RW;RSD;.PRE.;RSDHET02;Fuel Tech 2 - Heat (RSD);PJ;GW;PRE;-;RSDHET02_NRGO;DAYNITE;0,00
BASE;RW;IND;.PRE.;IBOBIOPEL00;IBO.production.wood.pellets.00;PJ;PJA;PRE;-;BIOPEL;ANNUAL;0,00
BASE;RW;TRA;.PRE.;TRAGZH00;Fuel Tech - BioGas Enrichi (TRA);PJ;PJA;PRE;-;;ANNUAL;0,00
BASE;RW;TRA;.PRE.;TRAHFO00;Fuel Tech - Heavy Fuel Oil (TRA);PJ;PJA;PRE;-;;ANNUAL;0,00
BASE;RW;AGR;.PRE.;AGRGAS00;Fuel Tech - Natural Gas (AGR);PJ;PJA;PRE;-;;ANNUAL;0,00
BASE;RW;TRA;.PRE.;TRAGAS00;Fuel Tech - Natural Gas (TRA);PJ;PJA;PRE;-;;ANNUAL;0,00
BASE;RW;IND;.PRE.;INFOTH-NRG;INF: Other energy uses;PJ;PJA;PRE;-;;ANNUAL;0,00
BASE;RW;AGR;.PRE.;AGRSOL00;Fuel tech - Solar;PJ;PJA;PRE;-;;DAYNITE;0,00
TRA-NewTechs;RW;TRA;.DMD.TRADMO.;TMOPELCN01;Mopeds Electric New;BVKM;000VEH;DMD;-;TMOP;ANNUAL;1,00
BASE;RW;AGR;.DMD.;AGRAPP00;Base year electrical appliances;PJ;PJA;DMD;-;AGRAP;ANNUAL;0,00
BASE;RW;AGR;.PRE.;AGRBDL00;Fuel Tech - Biodiesel (AGR);PJ;PJA;PRE;-;AGRBDL;ANNUAL;0,00
BASE;RW;AGR;.PRE.;AGRBGS00;Fuel Tech - Biogas(AGR);PJ;PJA;PRE;-;AGRBGS;ANNUAL;0,00
BASE;RW;AGR;.PRE.;AGRCPS00;Fuel - Tech - bois chips (AGR);PJ;PJA;PRE;-;AGRCPS;ANNUAL;0,00
BASE;RW;AGR;.PRE.;AGRELC00;Fuel Tech - Electricity (AGR);PJ;PJA;PRE;-;AGRELC;DAYNITE;0,00
BASE;RW;AGR;.PRE.;AGRGMX00;Fuel Tech - gas mix réseau;PJ;PJA;PRE;-;AGRGMX;ANNUAL;0,00
BASE;RW;AGR;.PRE.;AGRHET00;Fuel Tech - Low Temperature Heat (AGR);PJ;PJA;PRE;-;AGRHET;SEASON;0,00
BASE;RW;AGR;.DMD.;AGRHH00;Base year oil  boiler  small;PJ;PJA;DMD;-;AGRHH;ANNUAL;0,00
BASE;RW;AGR;.DMD.;AGROFR00;Base year offroad;PJ;PJA;DMD;-;AGROF;ANNUAL;0,00
BASE;RW;COM;.DMD.;COM_CBAT_BA;Building Existing BA;MM2;MM2-A;DMD;-;CBATBA;ANNUAL;0,00
BASE;RW;COM;.DMD.;COM_CBAT_BP;Building Existing BP;MM2;MM2-A;DMD;-;CBATBP;ANNUAL;0,00
BASE;RW;COM;.DMD.;COM_CBAT_CO;Building Existing CO;MM2;MM2-A;DMD;-;CBATCO;ANNUAL;0,00
BASE;RW;COM;.DMD.;COM_CBAT_CS;Building Existing CS;MM2;MM2-A;DMD;-;CBATCS;ANNUAL;0,00
BASE;RW;COM;.DMD.;COM_CBAT_DATA;Building Existing DATA;MM2;MM2-A;DMD;-;CBATDATA;ANNUAL;0,00
BASE;RW;COM;.DMD.;COM_CBAT_EN;Building Existing EN;MM2;MM2-A;DMD;-;CBATEN;ANNUAL;0,00
BASE;RW;COM;.DMD.;COM_CBAT_SA;Building Existing SA;MM2;MM2-A;DMD;-;CBATSA;ANNUAL;0,00
BASE;RW;COM;.PRE.;CCBAELC100;Com.Space Cool.BA.ELC.00.Central.;PJ;GW;PRE;-;CCBA;ANNUAL;0,00
BASE;RW;COM;.PRE.;CCBAELC200;Com.Space Cool.BA.ELC.00.Windows.;PJ;GW;PRE;-;CCBA;ANNUAL;0,00
BASE;RW;COM;.PRE.;CCBAELC300;Com.Space Cool.BA.ELC.00.Fans.;PJ;GW;PRE;-;CCBA;ANNUAL;0,00
BASE;RW;COM;.PRE.;CCBPELC100;Com.Space Cool.BP.ELC.00.Central.;PJ;GW;PRE;-;CCBP;ANNUAL;0,00
BASE;RW;COM;.PRE.;CCBPELC200;Com.Space Cool.BP.ELC.00.Windows.;PJ;GW;PRE;-;CCBP;ANNUAL;0,00
BASE;RW;COM;.PRE.;CCBPELC300;Com.Space Cool.BP.ELC.00.Fans.;PJ;GW;PRE;-;CCBP;ANNUAL;0,00
BASE;RW;COM;.PRE.;CCCOELC100;Com.Space Cool.CO.ELC.00.Central.;PJ;GW;PRE;-;CCCO;ANNUAL;0,00
BASE;RW;COM;.PRE.;CCCOELC200;Com.Space Cool.CO.ELC.00.Windows.;PJ;GW;PRE;-;CCCO;ANNUAL;0,00
BASE;RW;COM;.PRE.;CCCOELC300;Com.Space Cool.CO.ELC.00.Fans.;PJ;GW;PRE;-;CCCO;ANNUAL;0,00
BASE;RW;COM;.PRE.;CCCSELC100;Com.Space Cool.CS.ELC.00.Central.;PJ;GW;PRE;-;CCCS;ANNUAL;0,00
BASE;RW;COM;.PRE.;CCCSELC200;Com.Space Cool.CS.ELC.00.Windows.;PJ;GW;PRE;-;CCCS;ANNUAL;0,00
BASE;RW;COM;.PRE.;CCCSELC300;Com.Space Cool.CS.ELC.00.Fans.;PJ;GW;PRE;-;CCCS;ANNUAL;0,00
BASE;RW;COM;.PRE.;CCDATELC100;Com.Space Cool.DATA.ELC.00.Central.;PJ;GW;PRE;-;CCDATA;ANNUAL;0,00
BASE;RW;COM;.PRE.;CCSAELC200;Com.Space Cool.SA.ELC.00.Windows.;PJ;GW;PRE;-;CCSA;ANNUAL;0,00
BASE;RW;COM;.PRE.;CCSAELC300;Com.Space Cool.SA.ELC.00.Fans.;PJ;GW;PRE;-;CCSA;ANNUAL;0,00
BASE;RW;COM;.PRE.;CHBABGS100;Com.Space Heat.BA.BGS.00.Furnace.;PJ;GW;PRE;-;CHBA;ANNUAL;0,00
BASE;RW;COM;.PRE.;CHBACPS100;Com.Space Heat.BA.BIOCPS.00.Stove.;PJ;GW;PRE;-;CHBA;ANNUAL;0,00
BASE;RW;COM;.PRE.;CHBAELC100;Com.Space Heat.BA.ELC.00.Resistance.;PJ;GW;PRE;-;CHBA;ANNUAL;0,00
BASE;RW;COM;.PRE.;CHBAELC200;Com.Space Heat.BA.ELC.00.Heat Pump.;PJ;GW;PRE;-;CHBA;ANNUAL;0,00
BASE;RW;COM;.PRE.;CHBAGEO100;Com.Space Heat.BA.GEO.00.Furnace.;PJ;GW;PRE;-;CHBA;ANNUAL;0,00
BASE;RW;COM;.PRE.;CHBAGMX100;Com.Space Heat.BA.GAS.00.Furnace.;PJ;GW;PRE;-;CHBA;ANNUAL;0,00
BASE;RW;COM;.PRE.;CHBAHET100;Com.Space Heat.BA.LTH.00.Heat exchanger.;PJ;GW;PRE;-;CHBA;ANNUAL;0,00
BASE;RW;COM;.PRE.;CHBALPG100;Com.Space Heat.BA.LPG.00.Furnace.;PJ;GW;PRE;-;CHBA;ANNUAL;0,00
BASE;RW;COM;.PRE.;CHBAOIL100;Com.Space Heat.BA.OIL.00.Furnace.;PJ;GW;PRE;-;CHBA;ANNUAL;0,00
BASE;RW;COM;.PRE.;CHBAPEL100;Com.Space Heat.BA.BIOPEL.00.Stove.;PJ;GW;PRE;-;CHBA;ANNUAL;0,00
BASE;RW;COM;.DMD.;COENMIX100;Com.Other Energy.00.Other.;PJ;PJA;DMD;-;COEN;ANNUAL;0,00
BASE;RW;COM;.PRE.;COMBDL00;FT- Biodiesel (COM);PJ;PJA;PRE;-;COMBDL;ANNUAL;0,00
BASE;RW;COM;.PRE.;COMBGS00;Fuel Tech - biogaz enrichi (COM);PJ;PJA;PRE;-;COMBGS;ANNUAL;0,00
BASE;RW;COM;.PRE.;COMCOA00;Fuel Tech - Coal (COM);PJ;PJA;PRE;-;COMCOA;ANNUAL;0,00
BASE;RW;COM;.PRE.;COMCPS00;Fuel Tech - Chips (COM);PJ;PJA;PRE;-;COMCPS;ANNUAL;0,00
BASE;RW;COM;.PRE.;COMELC00;Fuel Tech - Electricity (COM);PJ;GW;PRE;-;COMELC;DAYNITE;0,00
BASE;RW;COM;.PRE.;CWCSHET100;Com.Water Heat.CS.LTH.00.Heat Exchanger.;PJ;GW;PRE;-;CWCS;ANNUAL;0,00
BASE;RW;IND;.DMD.;IBOPROD00;IBO.Production.Wood.products.00;PJ;PJA;DMD;-;IBO;ANNUAL;0,00
BASE;RW;IND;.PRE.;IBOSTMGAS00;IBO.Generic Boiler.GAS;PJ;PJA;PRE;-;IBOHTH;ANNUAL;0,00
BASE;RW;IND;.PRE.;INDGAS00;Fuel Tech - Natural Gas transport (IND);PJ;PJA;PRE;-;INDGAS;ANNUAL;0,00
BASE;RW;IND;.PRE.;IOISTMCPS00;IOI.Other Industries.Steam.CPS.00;PJ;GW;PRE;-;IOIHTH;ANNUAL;0,00
BASE;RW;IND;.PRE.;IOISTMGAS00;IOI.Other Industries.Steam.GAS.00;PJ;GW;PRE;-;IOIHTH;ANNUAL;0,00
BASE;RW;IND;.PRE.;IOISTMGMX00;IOI.Other Industries.Steam.GAS.01;PJ;GW;PRE;-;IOIHTH;ANNUAL;0,00
BASE;RW;RSD;.DMD.;RLIGELC100;Rsd.Lighting.ELC.00.Incandescent Standard.;PJ;PJA;DMD;-;RLIG;ANNUAL;0,00
BASE;RW;RSD;.DMD.;RLIGELC200;Rsd.Lighting.ELC.00.Incandescent Improved.;PJ;PJA;DMD;-;RLIG;ANNUAL;0,00
BASE;RW;RSD;.DMD.;RLIGELC300;Rsd.Lighting.ELC.00.Halogen.;PJ;PJA;DMD;-;RLIG;ANNUAL;0,00
BASE;RW;RSD;.DMD.;RLIGELC400;Rsd.Lighting.ELC.00.Fluorescent.;PJ;PJA;DMD;-;RLIG;ANNUAL;0,00
BASE;RW;RSD;.DMD.;RLIGELC500;Rsd.Lighting.ELC.00.LED.;PJ;PJA;DMD;-;RLIG;ANNUAL;0,00
BASE;RW;RSD;.DMD.;ROELELC100;Rsd.Other Electricity.ELC.00.Other Appliances.;PJ;PJA;DMD;-;ROEL;ANNUAL;0,00
BASE;RW;RSD;.DMD.;ROENGSL100;Rsd.Other Energy.GSL.00.Other.;PJ;PJA;DMD;-;ROEN;ANNUAL;0,00
BASE;RW;RSD;.DMD.;RREFELC100;Rsd.Refrigeration.ELC.00.Refrigerator.;PJ;PJA;DMD;-;RREF;ANNUAL;0,00
BASE;RW;RSD;.DMD.;RREFELC200;Rsd.Refrigeration.ELC.00.Freezer.;PJ;PJA;DMD;-;RREF;ANNUAL;0,00
BASE;RW;RSD;.DMD.;RREFELC300;Rsd.Refrigeration.ELC.00.Refrigerator+Freezer.;PJ;PJA;DMD;-;RREF;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RSDCOA00;Fuel Tech - Coal (RSD);PJ;PJA;PRE;-;RSDCOA;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RSDGMX00;Fuel Tech - Natural Gas biogas mixed (RSD);PJ;PJA;PRE;-;RSDGMX;ANNUAL;0,00
BASE;RW;RSD;.PRE.;RSDGSL00;Fuel Tech - Gasoline (RSD);PJ;PJA;PRE;-;RSDGSL;ANNUAL;0,00
BASE;RW;TRA;.PRE.;TRAGSL00;Fuel Tech - Gasoline (TRA);PJ;PJA;PRE;-;TRAGSL;ANNUAL;0,00
